"DATASET","SERIES_CODE","OBS_MEASURE","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:ESG_FINANCE(2.0.3)","BEL.SUBI_USD.A","OBS_VALUE","","","","","","","0.057750057","","0.522897689","2.300749833","2.426245279","1.969155252","1.830141913","1.568693069","1.699417491"
"IMF.STA:ESG_FINANCE(2.0.3)","BEN.SSSBI_USD.A","OBS_VALUE","","","","","","","","","","","","1.045795378","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","MEX.SUBI_USD.A","OBS_VALUE","","","","","","","","0.610978755","0.125428711","0.270103094","0.80394477","6.528340234","12.93008505","8.416138738","10.75391853"
"IMF.STA:ESG_FINANCE(2.0.3)","CHL.SSLBI_USD.A","OBS_VALUE","","","","","","","","","","","","","2","8.84273558",""
"IMF.STA:ESG_FINANCE(2.0.3)","PHL.GBI_USD.A","OBS_VALUE","0.769075804","","0.014366736","0.058941038","","0.502338831","1.3","1.499270573","1.943137475","3.590743005","0.533912415","1.873705376","0.231502334","0.144495003","2.790655644"
"IMF.STA:ESG_FINANCE(2.0.3)","ESP.GBI_USD.A","OBS_VALUE","","","","","1.15427155","","3.487379557","6.181060486","4.020036281","7.230203609","9.647151136","29.72903122","13.25599792","11.80082065","12.64332435"
"IMF.STA:ESG_FINANCE(2.0.3)","JEY.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","0.679766996","1.471464834"
"IMF.STA:ESG_FINANCE(2.0.3)","LUX.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","2.823647524","15.48563929","3.826022071","2.384346534","0.3"
"IMF.STA:ESG_FINANCE(2.0.3)","LUX.SBI_USD.A","OBS_VALUE","","","","","","","","","","0.182549512","1.148625243","0.030458908","0.078215937","0.001911001",""
"IMF.STA:ESG_FINANCE(2.0.3)","URY.SSLBI_USD.A","OBS_VALUE","","","","","","","","","","","","","2.199975998","",""
"IMF.STA:ESG_FINANCE(2.0.3)","MUS.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","0.176",""
"IMF.STA:ESG_FINANCE(2.0.3)","NGA.GBI_USD.A","OBS_VALUE","","","","","","","","0.007088671","","0.018944918","0.167093683","0.000598483","0.05","",""
"IMF.STA:ESG_FINANCE(2.0.3)","BEL.SBI_USD.A","OBS_VALUE","","","","","","","","","","","47.58368977","48.90831951","10.76442557","4.166982765","2.363497556"
"IMF.STA:ESG_FINANCE(2.0.3)","NLD.GBI_USD.A","OBS_VALUE","","","","","1.701120016","4.792143809","7.22888396","10.32193931","11.16165883","28.27127157","24.71991921","33.25228871","32.05424076","38.22644881","29.24227101"
"IMF.STA:ESG_FINANCE(2.0.3)","KOR.SSSBI_USD.A","OBS_VALUE","","","","","","","","","","0.5","","","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","IDN.GBI_USD.A","OBS_VALUE","","","","","","","","","2.530712529","1.592018909","1.841711755","1.815159155","6.113564992","3.86748972","6.175553343"
"IMF.STA:ESG_FINANCE(2.0.3)","IND.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","","2.4","0.8","",""
"IMF.STA:ESG_FINANCE(2.0.3)","NGA.SGBIC_USD.A","OBS_VALUE","","","","","","","","0.007088671","","0.010003201","","","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","BEN.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","1.045795378","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","KOR.SGBIC_USD.A","OBS_VALUE","","","","","","","","","","","","0.732056765","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","FIN.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","0.104579537","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","KAZ.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","","0.397051745"
"IMF.STA:ESG_FINANCE(2.0.3)","JPN.SBI_USD.A","OBS_VALUE","","","","","","","0.233910311","0.434404862","1.282015194","2.684663061","5.921640982","7.947619272","12.85063772","19.03009919","18.74562974"
"IMF.STA:ESG_FINANCE(2.0.3)","KOR.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","2.153448358","0.10478769"
"IMF.STA:ESG_FINANCE(2.0.3)","NER.SBI_USD.A","OBS_VALUE","","","","","","","","","","","0.352264902","0.782675322","0.488790921","",""
"IMF.STA:ESG_FINANCE(2.0.3)","NZL.SUBI_USD.A","OBS_VALUE","","","","","","","","","1.922900306","0.769160122","1.205400191","0.086100013","0.516600082","",""
"IMF.STA:ESG_FINANCE(2.0.3)","USA.SBI_USD.A","OBS_VALUE","","","1.7","0.059216146","0.541172365","0.031348047","","1.031406105","1.059272326","1.019187879","9.889720799","6.566833308","5.550925932","2.933355206","4.148881565"
"IMF.STA:ESG_FINANCE(2.0.3)","IND.SGBIC_USD.A","OBS_VALUE","","","","","","","","","","","","","","3.003280504","3.661391442"
"IMF.STA:ESG_FINANCE(2.0.3)","MHL.GBI_USD.A","OBS_VALUE","","","","","","","","","","0.2","","1.5","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","CIV.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","","2.95"
"IMF.STA:ESG_FINANCE(2.0.3)","JPN.SUBI_USD.A","OBS_VALUE","","","","","","","","1","0.732056765","0.329060906","4.444527164","9.955775772","7.775587645","10.01220828","8.052712211"
"IMF.STA:ESG_FINANCE(2.0.3)","FRA.SGBIC_USD.A","OBS_VALUE","","","","","","","","36.71787578","","","","24.96313571","7.413643446","","10.37115278"
"IMF.STA:ESG_FINANCE(2.0.3)","URY.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","","","2.199975998","",""
"IMF.STA:ESG_FINANCE(2.0.3)","JPN.GBI_USD.A","OBS_VALUE","","","","","0.262348755","0.814818507","1.066983722","1.322854849","3.599659806","6.763790152","7.617034767","15.41593582","22.40842657","24.87488561","36.30246976"
"IMF.STA:ESG_FINANCE(2.0.3)","MEX.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","","9.661308381","1.937468931","4.633818004",""
"IMF.STA:ESG_FINANCE(2.0.3)","UZB.SGBIC_USD.A","OBS_VALUE","","","","","","","","","","","","","","0.659937888",""
"IMF.STA:ESG_FINANCE(2.0.3)","FRA.SBI_USD.A","OBS_VALUE","","","0.680458432","","","","","0.948098122","3.020319046","2.436866054","52.46756111","80.39943596","57.95346379","46.91755979","27.01638531"
"IMF.STA:ESG_FINANCE(2.0.3)","MEX.SBI_USD.A","OBS_VALUE","","","","","","","","0.195780921","","0.230955771","0.147224812","1.007447704","1.557808344","1.46496815","0.867191169"
"IMF.STA:ESG_FINANCE(2.0.3)","NZL.GBI_USD.A","OBS_VALUE","","","0.028269989","0.086829951","0.124941609","0.088289826","0.084809969","0.215032363","0.360610288","0.632859974","0.617050096","1.439248144","6.583532904","1.442566458","1.268120983"
"IMF.STA:ESG_FINANCE(2.0.3)","JEY.GBI_USD.A","OBS_VALUE","","","","","","","","","","1.044495508","0.23","0.366028382","","",""
