"Economy","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Bangladesh","$3.22543e+007","-","$4.47742e+007","$1.12884e+007","$1.20288e+008","$1.10651e+008","$6.76339e+007","$4.64548e+007","$3.45161e+007","$5.38521e+007","$8.97091e+007","$6.99516e+007","$8.00656e+007","-","-","-","-","-","-","$1.71574e+009","$2.61817e+008","$1.07424e+009","$7.65114e+008","$1.5089e+009","$9.5838e+008","$1.48774e+009","$1.34179e+009","$1.36741e+009","$1.40946e+009","$6.79069e+008","$1.10347e+009","$2.9511e+008","-","-","-","-"
"Barbados","$2.47715e+007","$2.30483e+007","$1.49277e+007","$2.26187e+007","$2.38269e+007","$3.79398e+007","$2.87881e+007","$2.5306e+007","$2.53615e+007","$2.80795e+007","$2.6917e+007","$2.68215e+007","$4.4112e+007","$2.56485e+007","$3.0165e+007","$2.4845e+007","$2.37415e+007","-","-","-","-","-","-","-","$2.61644e+007","-","$6.0158e+007","$2.2318e+007","$3.08695e+007","-","-","-","-","-","-","-"
"Belarus","-","-","$2.02745e+006","$6.88848e+006","$1.32763e+007","$4.17744e+007","$1.38001e+008","$1.04724e+008","$7.98173e+007","$5.84323e+007","$4.49273e+007","$5.40014e+007","$6.24422e+007","$1.04862e+008","$1.33707e+008","-","-","$4.84232e+008","$4.78937e+008","$4.08228e+008","$4.91611e+008","$4.03346e+008","$2.87018e+008","-","-","$2.83978e+008","$2.77448e+008","$2.95371e+008","$3.10511e+008","$2.76143e+008","$2.06825e+008","$2.25057e+008","$1.98579e+008","$2.42922e+008","$2.87902e+008","-"
"Belgium","$8.34443e+008","$8.26855e+008","$7.78625e+008","$1.31654e+009","$9.83785e+008","$1.4941e+009","$1.10166e+009","$1.45469e+009","$8.86057e+008","$7.45745e+008","$1.44444e+009","$1.2608e+009","$1.18679e+009","$1.1809e+009","$1.63905e+009","$1.32151e+009","$1.31815e+009","$1.59684e+009","$1.64351e+009","$1.50283e+009","$1.48468e+009","$1.601e+009","$1.58521e+009","$1.91156e+009","$1.9675e+009","$1.56318e+009","$1.75391e+009","$1.89009e+009","$2.04856e+009","$1.71915e+009","$1.67544e+009","$2.05539e+009","$2.46954e+009","$2.71965e+009","$2.85416e+009","-"
"Belize","$6.35e+006","$6.25e+006","$5.102e+006","$7.8045e+006","$6.3635e+006","$8.07e+006","$5.8e+006","$1.0215e+007","$1.2e+007","$1.7311e+007","$7.569e+006","$1.08275e+007","$3e+007","$3e+007","$1.2e+007","$1.5e+007","$1.55e+007","$2.3e+007","$1.8e+007","$2.3e+007","$3e+007","$1.15e+007","$1.4e+007","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Benin","$1.5553e+006","$929955","$2.11833e+007","$2.31212e+007","$1.46159e+007","$1.73032e+007","$1.12609e+007","-","$2.37139e+007","$3.19181e+007","$2.94798e+007","$2.64242e+007","-","$2.80049e+007","$3.53953e+007","$2.09663e+007","-","$1.8361e+008","$4.75354e+008","$3.36691e+008","$9.34453e+007","$7.26626e+007","$1.52376e+008","$2.00619e+008","$8.60776e+007","$6.0465e+007","$7.83405e+007","$7.2806e+007","$1.76309e+008","$5.56873e+007","$5.78971e+007","$7.36953e+007","$1.0004e+008","$2.30626e+008","$1.53488e+008","-"
"Bermuda","$8.457e+006","$1.1192e+007","$1.1661e+007","$1.291e+007","$1.2599e+007","$1.0548e+007","$1.4186e+007","$1.9604e+007","$2.2375e+007","$1.8288e+007","$2.85954e+007","$1.5489e+007","$2.50345e+007","-","$1.06994e+007","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","$2.40491e+007","-"
"Bhutan","-","-","-","-","-","-","-","-","-","-","$1.44637e+006","$2.77601e+006","$2.762e+006","-","$6.07966e+006","-","$1.69025e+007","-","-","$1.76444e+007","$8.09171e+006","$1.89533e+007","$1.74873e+007","-","$1.93264e+007","$2.78168e+007","$2.41575e+007","$286703","$2.23465e+007","$8.28008e+006","$2.32967e+007","-","$3.74603e+007","$3.72869e+007","$36.9618","-"
"Bolivia (Plurinational State of)","$2.29374e+007","$2.14738e+007","$2.47886e+007","$1.5805e+007","$1.46097e+007","$9.22559e+006","$1.03455e+008","$2.37708e+008","$1.856e+008","$2.11051e+008","$1.71458e+008","$1.58311e+008","$2.56e+007","$2.58e+007","$1.77e+007","-","-","-","$1.8003e+008","$2.68218e+008","$2.69846e+008","$3.10352e+008","$2.71095e+008","-","$4.58645e+008","$6.35352e+008","$5.23861e+008","$4.49206e+008","$5.42923e+008","$6.01911e+008","$2.44894e+008","$2.70791e+008","-","-","$2.1248e+008","-"
"Bosnia and Herzegovina","-","-","-","-","-","$1.98e+009","$3.145e+009","$4.48789e+007","$3.125e+007","$5.61002e+007","$5.24677e+007","$6.40439e+007","-","$1.11985e+008","$2.55768e+008","-","-","$1.16843e+008","$2.04781e+008","$2.07591e+008","$1.69292e+008","$1.61343e+008","$1.58979e+008","$1.83809e+008","$1.83853e+008","$1.13915e+008","$1.05144e+008","$1.13427e+008","$1.0387e+008","$1.66709e+008","$1.09731e+008","$1.47139e+008","$1.4491e+008","$1.31489e+008","$1.4364e+008","-"
